kind,kw,p,jit,rate,cv,sup16,phase_entropy,c8,c16,c24,match
markov,"{'a': 0.15, 'b': 0.05}",0.5,0.02,0.0416,1.45,-0.06,0.98,269,36,21,2.37
markov,"{'a': 0.15, 'b': 0.05}",0.5,0.0,0.0416,1.45,-0.06,0.99,269,36,21,2.37
markov,"{'a': 0.15, 'b': 0.05}",0.5,0.05,0.0417,1.45,-0.06,0.97,270,36,20,2.42
refractory,{'D': 2},0.5,0.05,0.0317,0.35,0.00,0.99,0,0,160,2.47
refractory,{'D': 2},0.5,0.02,0.0317,0.35,0.00,0.99,0,0,170,2.47
refractory,{'D': 2},0.5,0.0,0.0317,0.35,0.00,1.00,0,0,170,2.47
refractory,{'D': 2},0.35,0.0,0.0260,0.48,0.00,1.00,0,0,97,2.52
refractory,{'D': 2},0.35,0.05,0.0260,0.48,0.00,0.99,0,0,92,2.52
refractory,{'D': 2},0.35,0.02,0.0260,0.48,0.00,0.98,0,0,97,2.52
refractory,{'D': 2},0.2,0.05,0.0177,0.68,0.00,0.98,0,0,36,2.65
refractory,{'D': 2},0.2,0.02,0.0177,0.67,0.00,0.99,0,0,37,2.65
refractory,{'D': 2},0.2,0.0,0.0177,0.67,0.00,1.00,0,0,37,2.65
markov,"{'a': 0.2, 'b': 0.2}",0.5,0.0,0.0680,1.10,-0.05,1.00,508,57,33,2.71
markov,"{'a': 0.2, 'b': 0.2}",0.5,0.02,0.0680,1.10,-0.05,0.99,508,57,33,2.71
markov,"{'a': 0.2, 'b': 0.2}",0.5,0.05,0.0681,1.10,-0.05,0.97,507,56,32,2.73
markov,"{'a': 0.2, 'b': 0.2}",0.2,0.02,0.0315,1.03,-0.23,0.99,108,57,33,2.78
markov,"{'a': 0.2, 'b': 0.2}",0.2,0.0,0.0315,1.03,-0.23,0.99,108,57,33,2.78
markov,"{'a': 0.2, 'b': 0.2}",0.2,0.05,0.0316,1.03,-0.23,0.97,108,57,32,2.87
markov,"{'a': 0.15, 'b': 0.05}",0.2,0.05,0.0190,1.27,-0.26,0.96,57,32,17,3.23
markov,"{'a': 0.15, 'b': 0.05}",0.2,0.02,0.0190,1.27,-0.27,0.97,57,33,17,3.23
markov,"{'a': 0.15, 'b': 0.05}",0.2,0.0,0.0190,1.27,-0.27,0.98,57,33,17,3.23
markov,"{'a': 0.2, 'b': 0.2}",0.35,0.0,0.0528,1.10,-0.15,1.00,308,86,39,3.59
markov,"{'a': 0.2, 'b': 0.2}",0.35,0.02,0.0528,1.10,-0.15,0.99,308,86,39,3.59
markov,"{'a': 0.2, 'b': 0.2}",0.35,0.05,0.0528,1.10,-0.15,0.97,308,86,38,3.62
markov,"{'a': 0.15, 'b': 0.05}",0.35,0.02,0.0316,1.48,-0.18,0.98,160,52,23,3.75
markov,"{'a': 0.15, 'b': 0.05}",0.35,0.0,0.0316,1.47,-0.18,0.98,160,52,23,3.75
markov,"{'a': 0.15, 'b': 0.05}",0.35,0.05,0.0316,1.48,-0.18,0.96,160,52,22,3.83
memoryless,{},0.2,0.02,0.0249,0.92,-0.15,0.98,50,42,34,4.36
memoryless,{},0.2,0.0,0.0249,0.92,-0.15,0.99,50,42,34,4.36
markov,"{'a': 0.5, 'b': 0.5}",0.2,0.02,0.0324,0.87,-0.25,0.99,85,65,45,4.47
markov,"{'a': 0.5, 'b': 0.5}",0.2,0.0,0.0324,0.87,-0.25,0.99,85,65,45,4.47
memoryless,{},0.2,0.05,0.0249,0.92,-0.16,0.98,50,41,33,4.56
