# outframe clk nwords cksum16 cfc_est sw stale rep
0 453214 191 0 -1985 0 0 0
1 650542 191 60744 -1997 0 0 0
2 847870 191 60502 -2029 0 0 0
3 1045198 191 59023 -2037 3 3 0
4 1242526 191 62758 -2009 0 0 0
5 1439854 191 60458 -2014 0 0 0
6 1637182 191 62291 -2036 0 0 0
7 1834510 191 62542 -2022 0 0 0
8 2031838 191 60491 -1989 0 0 0
9 2229166 191 61311 -2026 0 0 0
10 2426494 191 60136 -2057 0 0 0
11 2623822 191 58777 -2055 3 3 0
12 2821150 191 61614 -1968 0 0 0
13 3018478 191 60366 -2015 0 0 0
14 3215806 191 60744 -2041 0 0 0
15 3413134 191 61614 -2032 0 0 0
16 3610462 191 61338 -2063 0 0 0
17 3807790 191 61938 -2052 0 0 0
18 4005118 191 61564 -2021 0 0 0
19 4202446 191 61375 -2070 0 0 0
20 4399774 191 61937 -2064 0 0 0
21 4597102 191 61687 -2062 0 0 0
22 4794430 191 60513 -2055 0 0 0
23 4991758 191 63461 -2039 0 0 0
24 5189086 191 60850 -1999 0 0 0
25 5386414 191 61466 -2050 0 0 0
26 5583742 191 61704 -2054 0 0 0
27 5781070 191 62493 -2024 0 0 0
28 5978398 191 61059 -2068 0 0 0
29 6175726 191 61292 -2073 0 0 0
30 6373054 191 60538 -2030 0 0 0
31 6570382 191 60275 -2011 0 0 0
32 6767710 191 61348 -2042 0 0 0
33 6965038 191 61075 -2028 0 0 0
34 7162366 191 61651 -2021 0 0 0
35 7359694 191 63089 -2052 3 3 0
36 7557022 191 61535 -2059 0 0 0
37 7754350 191 59666 -2089 0 0 0
38 7951678 191 60970 -2032 0 0 0
39 8149006 191 61077 -2057 0 0 0
40 8346334 191 60924 -2054 0 0 0
41 8543662 191 61595 -2031 0 0 0
42 8740990 191 62715 -2028 0 0 0
43 8938318 191 61321 -2023 0 0 0
44 9135646 191 61015 -2083 0 0 0
45 9332974 191 61884 -2037 0 0 0
46 9530302 191 61895 -2009 0 0 0
47 9727630 191 62729 -2048 0 0 0
48 9924958 191 61745 -2068 0 0 0
49 10122286 191 62424 -2054 0 0 0
50 10319614 191 60065 -2028 0 0 0
51 10516942 191 60449 -2052 0 0 0
52 10714270 191 61488 -2023 0 0 0
53 10911598 191 59694 -2062 0 0 0
54 11108926 191 61267 -2076 0 0 0
55 11306254 191 61943 -2071 0 0 0
56 11503582 191 60045 -2011 0 0 0
57 11700910 191 62854 -2032 0 0 0
58 11898238 191 59699 -2024 0 0 0
59 12095566 191 61305 -2056 0 0 0
60 12292894 191 61182 -2058 0 0 0
61 12490222 191 61099 -2044 0 0 0
62 12687550 191 60992 -2040 0 0 0
63 12884878 191 60057 -2079 0 0 0
64 13082206 191 61259 -2034 0 0 0
65 13279534 191 59987 -2026 0 0 0
66 13476862 191 60813 -2026 0 0 0
67 13674190 191 61302 -2057 0 0 0
68 13871518 191 62455 -2035 0 0 0
69 14068846 191 60164 -2051 0 0 0
70 14266174 191 60684 -2036 0 0 0
71 14463502 191 59437 -2046 0 0 0
72 14660830 191 61809 -2042 0 0 0
73 14858158 191 61162 -2024 0 0 0
74 15055486 191 61551 -2042 0 0 0
75 15252814 191 61346 -2040 0 0 0
76 15450142 191 60726 -2075 3 3 0
77 15647470 191 60774 -2023 0 0 0
78 15844798 191 61672 -2063 0 0 0
79 16042126 191 59700 -2028 0 0 0
80 16239454 191 62731 -2065 0 0 0
81 16436782 191 63230 -2026 0 0 0
82 16634110 191 61945 -2052 0 0 0
83 16831438 191 60135 -2050 0 0 0
84 17028766 191 60962 -2038 0 0 0
85 17226094 191 62250 -2039 0 0 0
86 17423422 191 62260 -2057 0 0 0
87 17620750 191 61508 -2057 0 0 0
88 17818078 191 61234 -2069 0 0 0
89 18015406 191 60952 -2051 0 0 0
90 18212734 191 63114 -2051 0 0 0
91 18410062 191 62139 -2049 0 0 0
92 18607390 191 60902 -2084 0 0 0
93 18804718 191 60969 -2037 0 0 0
94 19002046 191 61499 -2041 0 0 0
95 19199374 191 61038 -2037 0 0 0
96 19396702 191 62070 -2055 0 0 0
