# outframe clk nwords cksum16 cfc_est ss_err_rms cs_err_rms ssIntP ssIntI csIntP csIntI pdsync nssv ncsv
0 276342 191 0 -2055 0.0 0.000 0 0 0 0 1 34521 34511
1 375006 191 63401 -2065 0.0 0.000 0 0 0 0 1 12333 12333
2 473670 191 62453 -2039 0.0 0.000 0 0 0 0 1 12333 12333
3 572334 191 63386 -2044 0.0 0.000 0 0 0 0 1 12333 12333
4 670998 191 60897 -2065 0.0 0.000 0 0 0 0 1 12333 12333
5 769662 191 59714 -2045 0.0 0.000 0 0 0 0 1 12333 12333
6 868326 191 61403 -2055 0.0 0.000 0 0 0 0 1 12333 12333
7 966990 191 63219 -2068 0.0 0.000 0 0 0 0 1 12333 12333
8 1065654 191 62394 -2054 0.0 0.000 0 0 0 0 1 12333 12333
9 1164318 191 60935 -2124 0.0 0.000 0 0 0 0 1 12333 12333
10 1262982 191 60406 -2082 0.0 0.000 0 0 0 0 1 12333 12333
11 1361646 191 60104 -2058 0.0 0.000 0 0 0 0 1 12333 12333
12 1460310 191 61628 -2058 0.0 0.000 0 0 0 0 1 12333 12333
13 1558974 191 62632 -2065 0.0 0.000 0 0 0 0 1 12333 12333
14 1657638 191 60542 -2061 0.0 0.000 0 0 0 0 1 12333 12333
15 1756302 191 61223 -2059 0.0 0.000 0 0 0 0 1 12333 12333
16 1854966 191 61303 -2056 0.0 0.000 0 0 0 0 1 12333 12333
17 1953630 191 63601 -2046 0.0 0.000 0 0 0 0 1 12333 12333
18 2052294 191 62638 -2047 0.0 0.000 0 0 0 0 1 12333 12333
19 2150958 191 60874 -2032 0.0 0.000 0 0 0 0 1 12333 12333
20 2249622 191 61542 -2070 0.0 0.000 0 0 0 0 1 12333 12333
21 2348286 191 61186 -2088 0.0 0.000 0 0 0 0 1 12333 12333
22 2446950 191 60815 -2071 0.0 0.000 0 0 0 0 1 12333 12333
23 2545614 191 62052 -2080 0.0 0.000 0 0 0 0 1 12333 12333
24 2644278 191 61115 -2030 0.0 0.000 0 0 0 0 1 12333 12333
25 2742942 191 60142 -2034 0.0 0.000 0 0 0 0 1 12333 12333
26 2841606 191 61673 -2047 0.0 0.000 0 0 0 0 1 12333 12333
27 2940270 191 62762 -2037 0.0 0.000 0 0 0 0 1 12333 12333
28 3038934 191 61221 -2044 0.0 0.000 0 0 0 0 1 12333 12333
29 3137598 191 62523 -2065 0.0 0.000 0 0 0 0 1 12333 12333
30 3236262 191 60334 -2032 0.0 0.000 0 0 0 0 1 12333 12333
31 3334926 191 60875 -2050 0.0 0.000 0 0 0 0 1 12333 12333
32 3433590 191 61540 -2063 0.0 0.000 0 0 0 0 1 12333 12333
33 3532254 191 61733 -2042 0.0 0.000 0 0 0 0 1 12333 12333
34 3630918 191 63107 -2128 0.0 0.000 0 0 0 0 1 12333 12333
35 3729582 191 61351 -2043 0.0 0.000 0 0 0 0 1 12333 12333
36 3828246 191 61719 -2028 0.0 0.000 0 0 0 0 1 12333 12333
37 3926910 191 62883 -2016 0.0 0.000 0 0 0 0 1 12333 12333
38 4025574 191 60658 -2062 0.0 0.000 0 0 0 0 1 12333 12333
39 4124238 191 60346 -2059 0.0 0.000 0 0 0 0 1 12333 12333
40 4222902 191 60569 -2069 0.0 0.000 0 0 0 0 1 12333 12333
41 4321566 191 60122 -2059 0.0 0.000 0 0 0 0 1 12333 12333
42 4420230 191 61069 -2061 0.0 0.000 0 0 0 0 1 12333 12333
43 4518894 191 59584 -2077 0.0 0.000 0 0 0 0 1 12333 12333
44 4617558 191 62096 -2072 0.0 0.000 0 0 0 0 1 12333 12333
45 4716222 191 62795 -2108 0.0 0.000 0 0 0 0 1 12333 12333
46 4814886 191 60859 -2034 0.0 0.000 0 0 0 0 1 12333 12333
47 4913550 191 60866 -2053 0.0 0.000 0 0 0 0 1 12333 12333
48 5012214 191 61554 -2037 0.0 0.000 0 0 0 0 1 12333 12333
49 5110878 191 62495 -2035 0.0 0.000 0 0 0 0 1 12333 12333
50 5209542 191 61429 -2079 0.0 0.000 0 0 0 0 1 12333 12333
51 5308206 191 59984 -2084 0.0 0.000 0 0 0 0 1 12333 12333
52 5406870 191 60094 -2035 0.0 0.000 0 0 0 0 1 12333 12333
53 5505534 191 60928 -2011 0.0 0.000 0 0 0 0 1 12333 12333
54 5604198 191 61615 -2061 0.0 0.000 0 0 0 0 1 12333 12333
55 5702862 191 62149 -2030 0.0 0.000 0 0 0 0 1 12333 12333
56 5801526 191 62826 -2065 0.0 0.000 0 0 0 0 1 12333 12333
57 5900190 191 61238 -2034 0.0 0.000 0 0 0 0 1 12333 12333
58 5998854 191 60636 -2028 0.0 0.000 0 0 0 0 1 12333 12333
59 6097518 191 61305 -2077 0.0 0.000 0 0 0 0 1 12333 12333
60 6196182 191 59976 -2072 0.0 0.000 0 0 0 0 1 12333 12333
61 6294846 191 60647 -2061 0.0 0.000 0 0 0 0 1 12333 12333
62 6393510 191 61016 -2008 0.0 0.000 0 0 0 0 1 12333 12333
63 6492174 191 58845 -2055 0.0 0.000 0 0 0 0 1 12333 12333
64 6590838 191 59512 -2044 0.0 0.000 0 0 0 0 1 12333 12333
65 6689502 191 60471 -2081 0.0 0.000 0 0 0 0 1 12333 12333
66 6788166 191 60789 -2019 0.0 0.000 0 0 0 0 1 12333 12333
67 6886830 191 63690 -2075 0.0 0.000 0 0 0 0 1 12333 12333
68 6985494 191 59638 -2084 0.0 0.000 0 0 0 0 1 12333 12333
69 7084158 191 60717 -2039 0.0 0.000 0 0 0 0 1 12333 12333
70 7182822 191 62807 -2054 0.0 0.000 0 0 0 0 1 12333 12333
71 7281486 191 59968 -2092 0.0 0.000 0 0 0 0 1 12333 12333
72 7380150 191 60817 -2066 0.0 0.000 0 0 0 0 1 12333 12333
73 7478814 191 61419 -2050 0.0 0.000 0 0 0 0 1 12333 12333
74 7577478 191 59366 -2029 0.0 0.000 0 0 0 0 1 12333 12333
75 7676142 191 60403 -2061 0.0 0.000 0 0 0 0 1 12333 12333
76 7774806 191 60635 -2082 0.0 0.000 0 0 0 0 1 12333 12333
77 7873470 191 61113 -2070 0.0 0.000 0 0 0 0 1 12333 12333
78 7972134 191 59649 -2047 0.0 0.000 0 0 0 0 1 12333 12333
79 8070798 191 62610 -2040 0.0 0.000 0 0 0 0 1 12333 12333
80 8169462 191 61691 -2005 0.0 0.000 0 0 0 0 1 12333 12333
81 8268126 191 61218 -2042 0.0 0.000 0 0 0 0 1 12333 12333
82 8366790 191 59819 -2023 0.0 0.000 0 0 0 0 1 12333 12333
83 8465454 191 62486 -2055 0.0 0.000 0 0 0 0 1 12333 12333
84 8564118 191 61505 -2089 0.0 0.000 0 0 0 0 1 12333 12333
85 8662782 191 61599 -2059 0.0 0.000 0 0 0 0 1 12333 12333
86 8761446 191 60254 -2055 0.0 0.000 0 0 0 0 1 12333 12333
87 8860110 191 61763 -2050 0.0 0.000 0 0 0 0 1 12333 12333
88 8958774 191 61421 -2033 0.0 0.000 0 0 0 0 1 12333 12333
89 9057438 191 60648 -1999 0.0 0.000 0 0 0 0 1 12333 12333
90 9156102 191 59358 -2000 0.0 0.000 0 0 0 0 1 12333 12333
91 9254766 191 60195 -2002 0.0 0.000 0 0 0 0 1 12333 12333
92 9353430 191 63026 -2044 0.0 0.000 0 0 0 0 1 12333 12333
93 9452094 191 60904 -2099 0.0 0.000 0 0 0 0 1 12333 12333
94 9550758 191 59935 -2007 0.0 0.000 0 0 0 0 1 12333 12333
95 9649422 191 60481 -2060 0.0 0.000 0 0 0 0 1 12333 12333
96 9748086 191 63325 -2114 0.0 0.000 0 0 0 0 1 12333 12333
97 9846750 191 63297 -2074 0.0 0.000 0 0 0 0 1 12333 12333
98 9945414 191 60024 -1988 0.0 0.000 0 0 0 0 1 12333 12333
99 10044078 191 60950 -2036 0.0 0.000 0 0 0 0 1 12333 12333
100 10142742 191 62879 -2055 0.0 0.000 0 0 0 0 1 12333 12333
101 10241406 191 61936 -1994 0.0 0.000 0 0 0 0 1 12333 12333
102 10340070 191 60901 -2010 0.0 0.000 0 0 0 0 1 12333 12333
103 10438734 191 60991 -2061 0.0 0.000 0 0 0 0 1 12333 12333
104 10537398 191 61011 -2055 0.0 0.000 0 0 0 0 1 12333 12333
105 10636062 191 62416 -2092 0.0 0.000 0 0 0 0 1 12333 12333
106 10734726 191 61659 -2015 0.0 0.000 0 0 0 0 1 12333 12333
107 10833390 191 61239 -2072 0.0 0.000 0 0 0 0 1 12333 12333
108 10932054 191 62259 -2107 0.0 0.000 0 0 0 0 1 12333 12333
109 11030718 191 60527 -2015 0.0 0.000 0 0 0 0 1 12333 12333
110 11129382 191 63114 -2066 0.0 0.000 0 0 0 0 1 12333 12333
111 11228046 191 60685 -2081 0.0 0.000 0 0 0 0 1 12333 12333
112 11326710 191 59769 -2086 0.0 0.000 0 0 0 0 1 12333 12333
113 11425374 191 60367 -2043 0.0 0.000 0 0 0 0 1 12333 12333
114 11524038 191 63079 -1997 0.0 0.000 0 0 0 0 1 12333 12333
115 11622702 191 62911 -2010 0.0 0.000 0 0 0 0 1 12333 12333
116 11721366 191 63512 -2046 0.0 0.000 0 0 0 0 1 12333 12333
117 11820030 191 60552 -2012 0.0 0.000 0 0 0 0 1 12333 12333
118 11918694 191 61438 -2018 0.0 0.000 0 0 0 0 1 12333 12333
119 12017358 191 61291 -2077 0.0 0.000 0 0 0 0 1 12333 12333
120 12116022 191 61062 -2068 0.0 0.000 0 0 0 0 1 12333 12333
121 12214686 191 62061 -2062 0.0 0.000 0 0 0 0 1 12333 12333
122 12313350 191 59835 -2067 0.0 0.000 0 0 0 0 1 12333 12333
123 12412014 191 60727 -2064 0.0 0.000 0 0 0 0 1 12333 12333
124 12510678 191 61615 -2068 0.0 0.000 0 0 0 0 1 12333 12333
125 12609342 191 61652 -2053 0.0 0.000 0 0 0 0 1 12333 12333
126 12708006 191 61392 -2091 0.0 0.000 0 0 0 0 1 12333 12333
127 12806670 191 63560 -2081 0.0 0.000 0 0 0 0 1 12333 12333
128 12905334 191 61870 -2074 0.0 0.000 0 0 0 0 1 12333 12333
129 13003998 191 62581 -2027 0.0 0.000 0 0 0 0 1 12333 12333
130 13102662 191 60909 -2047 0.0 0.000 0 0 0 0 1 12333 12333
131 13201326 191 61530 -2049 0.0 0.000 0 0 0 0 1 12333 12333
132 13299990 191 61124 -2076 0.0 0.000 0 0 0 0 1 12333 12333
133 13398654 191 63574 -2087 0.0 0.000 0 0 0 0 1 12333 12333
134 13497318 191 59280 -2043 0.0 0.000 0 0 0 0 1 12333 12333
135 13595982 191 61187 -2071 0.0 0.000 0 0 0 0 1 12333 12333
136 13694646 191 61525 -2034 0.0 0.000 0 0 0 0 1 12333 12333
137 13793310 191 60643 -2050 0.0 0.000 0 0 0 0 1 12333 12333
138 13891974 191 61836 -2089 0.0 0.000 0 0 0 0 1 12333 12333
139 13990638 191 59980 -2064 0.0 0.000 0 0 0 0 1 12333 12333
140 14089302 191 63761 -2026 0.0 0.000 0 0 0 0 1 12333 12333
141 14187966 191 60708 -2068 0.0 0.000 0 0 0 0 1 12333 12333
142 14286630 191 61243 -2086 0.0 0.000 0 0 0 0 1 12333 12333
143 14385294 191 60568 -2081 0.0 0.000 0 0 0 0 1 12333 12333
144 14483958 191 61537 -2027 0.0 0.000 0 0 0 0 1 12333 12333
145 14582622 191 60641 -2063 0.0 0.000 0 0 0 0 1 12333 12333
146 14681286 191 59695 -2108 0.0 0.000 0 0 0 0 1 12333 12333
147 14779950 191 61804 -2049 0.0 0.000 0 0 0 0 1 12333 12333
148 14878614 191 62405 -2068 0.0 0.000 0 0 0 0 1 12333 12333
149 14977278 191 61047 -2059 0.0 0.000 0 0 0 0 1 12333 12333
150 15075942 191 61051 -2079 0.0 0.000 0 0 0 0 1 12333 12333
151 15174606 191 62683 -2030 0.0 0.000 0 0 0 0 1 12333 12333
152 15273270 191 61911 -2044 0.0 0.000 0 0 0 0 1 12333 12333
153 15371934 191 61377 -2051 0.0 0.000 0 0 0 0 1 12333 12333
154 15470598 191 61379 -2058 0.0 0.000 0 0 0 0 1 12333 12333
155 15569262 191 61246 -2068 0.0 0.000 0 0 0 0 1 12333 12333
156 15667926 191 61287 -2090 0.0 0.000 0 0 0 0 1 12333 12333
157 15766590 191 61248 -2052 0.0 0.000 0 0 0 0 1 12333 12333
158 15865254 191 62697 -2025 0.0 0.000 0 0 0 0 1 12333 12333
159 15963918 191 63287 -2070 0.0 0.000 0 0 0 0 1 12333 12333
160 16062582 191 60884 -2060 0.0 0.000 0 0 0 0 1 12333 12333
161 16161246 191 61821 -2050 0.0 0.000 0 0 0 0 1 12333 12333
162 16259910 191 61405 -2055 0.0 0.000 0 0 0 0 1 12333 12333
163 16358574 191 61566 -2046 0.0 0.000 0 0 0 0 1 12333 12333
164 16457238 191 59791 -2064 0.0 0.000 0 0 0 0 1 12333 12333
165 16555902 191 61771 -2037 0.0 0.000 0 0 0 0 1 12333 12333
166 16654566 191 60360 -2040 0.0 0.000 0 0 0 0 1 12333 12333
167 16753230 191 61179 -2038 0.0 0.000 0 0 0 0 1 12333 12333
168 16851894 191 61521 -2029 0.0 0.000 0 0 0 0 1 12333 12333
169 16950558 191 61164 -2060 0.0 0.000 0 0 0 0 1 12333 12333
170 17049222 191 60668 -2030 0.0 0.000 0 0 0 0 1 12333 12333
171 17147886 191 63230 -2109 0.0 0.000 0 0 0 0 1 12333 12333
172 17246550 191 61867 -2075 0.0 0.000 0 0 0 0 1 12333 12333
173 17345214 191 61909 -2083 0.0 0.000 0 0 0 0 1 12333 12333
174 17443878 191 61256 -2050 0.0 0.000 0 0 0 0 1 12333 12333
175 17542542 191 62615 -2047 0.0 0.000 0 0 0 0 1 12333 12333
176 17641206 191 61693 -2049 0.0 0.000 0 0 0 0 1 12333 12333
177 17739870 191 61905 -2073 0.0 0.000 0 0 0 0 1 12333 12333
178 17838534 191 61319 -2058 0.0 0.000 0 0 0 0 1 12333 12333
179 17937198 191 61771 -2066 0.0 0.000 0 0 0 0 1 12333 12333
180 18035862 191 61522 -2050 0.0 0.000 0 0 0 0 1 12333 12333
181 18134526 191 59928 -2027 0.0 0.000 0 0 0 0 1 12333 12333
182 18233190 191 59658 -2058 0.0 0.000 0 0 0 0 1 12333 12333
183 18331854 191 58861 -2053 0.0 0.000 0 0 0 0 1 12333 12333
184 18430518 191 60850 -2056 0.0 0.000 0 0 0 0 1 12333 12333
185 18529182 191 62129 -2058 0.0 0.000 0 0 0 0 1 12333 12333
186 18627846 191 60298 -2038 0.0 0.000 0 0 0 0 1 12333 12333
187 18726510 191 61505 -2069 0.0 0.000 0 0 0 0 1 12333 12333
188 18825174 191 60786 -2067 0.0 0.000 0 0 0 0 1 12333 12333
189 18923838 191 60698 -2046 0.0 0.000 0 0 0 0 1 12333 12333
190 19022502 191 61753 -2073 0.0 0.000 0 0 0 0 1 12333 12333
191 19121166 191 60750 -2057 0.0 0.000 0 0 0 0 1 12333 12333
192 19219830 191 61156 -2052 0.0 0.000 0 0 0 0 1 12333 12333
193 19318494 191 59838 -2078 0.0 0.000 0 0 0 0 1 12333 12333
194 19417158 191 61614 -2063 0.0 0.000 0 0 0 0 1 12333 12333
