ts,iter,mode,class,locks,caps,rssi,temp148,temp146,cfo_hz,capfile
2026-07-07T03:47:11-04:00,1,reboot,VARYING,0/5,"0xE3B6A434;0x8352F4AC;0xD070A588;0xFA544A2;0x8C039D76;",24.996,57000,60000,-5430,fail_1_034709.iq
2026-07-07T03:47:28-04:00,2,rearm,VARYING,0/5,"0xD68900E4;0xE7588500;0xD8C5749C;0x535D74D0;0xA3F84E90;",25.59,57000,57000,-5496,fail_2_034726.iq
2026-07-07T03:47:46-04:00,3,rearm,VARYING,0/5,"0x11569A5C;0xA799474A;0xFCF3099A;0x112D1E;0xF888F9CA;",25.107,56000,59000,-5511,fail_3_034744.iq
2026-07-07T03:48:03-04:00,4,rearm,VARYING,0/5,"0x208D2158;0xA6954E34;0xE385565E;0x9DDC8A70;0x8DCDA57C;",25.286,57000,59000,-5511,fail_4_034801.iq
2026-07-07T03:48:20-04:00,5,rearm,VARYING,0/5,"0x73544A4;0xE2E2BF80;0x483F9EF0;0xC79BD462;0x96AEA1F6;",25.343,55000,57000,-5511,fail_5_034818.iq
2026-07-07T03:48:37-04:00,6,rearm,VARYING,0/5,"0x135431D6;0xFF90C398;0x280E28CE;0x852B6FE4;0xD88B0EFA;",24.983,56000,58000,-5511,fail_6_034835.iq
2026-07-07T03:53:52-04:00,1,reboot,VARYING,0/5,"0x8DF9FC2;0x2EB463A6;0x9EE92C3C;0x76F39C62;0x19E1F182;",25.331,58000,59000,-5401,fail_1_035350.iq
2026-07-07T03:54:09-04:00,2,rearm,VARYING,0/5,"0xC5A9548E;0xC456488A;0x6D1A9630;0x9DEADE44;0xB2751DAC;",25.159,57000,59000,-5482,fail_2_035407.iq
2026-07-07T03:54:27-04:00,3,rearm,VARYING,0/5,"0x613507C2;0xC977AACC;0x270FCB4A;0xA78BE86;0x457A68C0;",25.55,56000,59000,-5504,fail_3_035425.iq
2026-07-07T03:54:44-04:00,4,rearm,VARYING,0/5,"0x5AF1CB2C;0xE60C593E;0x3834090A;0x0;0xACE2327A;",25.479,56000,60000,-5504,fail_4_035442.iq
2026-07-07T03:55:01-04:00,5,rearm,VARYING,0/5,"0xD5155A2A;0x5E743B78;0xDF505178;0xE0CB0792;0x4B763AE;",25.326,56000,58000,-5504,fail_5_035459.iq
2026-07-07T03:55:18-04:00,6,rearm,VARYING,0/5,"0x657D4D26;0x2B838024;0xD365E23C;0x9990D032;0x360F48A2;",25.84,54000,59000,-5504,fail_6_035516.iq
2026-07-07T03:55:35-04:00,7,rearm,VARYING,0/5,"0x3147B512;0x5ACC4B90;0x92345D18;0x58A295A6;0xB39DF12;",25.217,54000,57000,-5504,fail_7_035533.iq
2026-07-07T03:55:52-04:00,8,rearm,VARYING,0/5,"0xE4234392;0x5BC79E12;0x6DAE0248;0xF80D228E;0xC1010644;",25.490,56000,59000,-5504,fail_8_035550.iq
2026-07-07T03:56:10-04:00,9,rearm,VARYING,0/5,"0xA008E324;0x4A9344FE;0x207E3E5C;0x1DAEBE9A;0x451FF70C;",25.292,56000,57000,-5511,fail_9_035608.iq
2026-07-07T03:56:27-04:00,10,rearm,VARYING,0/5,"0x57DA2C50;0xF869745E;0x21400E14;0x50635DF4;0xA1D61FDE;",25.101,55000,59000,-5511,fail_10_035625.iq
2026-07-07T03:58:15-04:00,11,reboot,VARYING,0/5,"0xE7096B02;0x3B32A7A0;0xD4AD8FA2;0xC78DDD4A;0x3D150918;",25.427,57000,65000,-5387,fail_11_035813.iq
2026-07-07T03:58:32-04:00,12,rearm,VARYING,0/5,"0x2EB9B392;0x1DA8F450;0x1E0CE918;0x21B1800;0x9428C7F2;",25.300,55000,65000,-5452,fail_12_035830.iq
2026-07-07T03:58:49-04:00,13,rearm,VARYING,0/5,"0xE8167CC;0x12C7C980;0x1E337D7C;0xBC573804;0xD1E54914;",25.436,57000,68000,-5467,fail_13_035847.iq
2026-07-07T03:59:06-04:00,14,rearm,VARYING,0/5,"0xD20557D8;0xD20557D8;0xD20557D8;0x1B2B0402;0xDC6C9DA0;",25.290,57000,66000,-5467,fail_14_035904.iq
2026-07-07T03:59:23-04:00,15,rearm,VARYING,0/5,"0xBF7CF5A0;0x3B278660;0x33469A56;0xE7864A50;0x552898F6;",25.540,57000,66000,-5467,fail_15_035921.iq
2026-07-07T03:59:40-04:00,16,rearm,VARYING,0/5,"0x5B4AC5D6;0xA00462AE;0xC6AD14B2;0x1E32CFC8;0x6A6325E;",25.546,56000,66000,-5467,fail_16_035938.iq
