fill,gap,offered_fps,ok,lost,gaps,biterr,dup,junk,torn_zero,torn_stale,scattered,batch_drop,d104,d108,d1C0
1516,100000,623.8,35383,2009,143,15,0,38904,0,0,15,0,75986,4036697,14202439
1516,100000,623.8,37265,150,147,1,0,37328,0,0,1,0,75980,4018597,14247645
1516,100000,623.8,34764,2633,146,12,0,39372,0,0,12,0,75977,4042675,14162459
1516,100000,623.8,37258,154,148,4,0,37323,0,0,4,0,75975,4018169,14245926
1516,100000,623.8,35388,2012,144,9,0,38874,0,0,9,0,75978,4036950,14185954
1516,100000,623.8,37250,156,150,9,0,37332,0,0,9,0,75983,4018626,14247072
1516,100000,623.8,34780,2627,142,4,0,39397,0,0,4,0,75974,4040458,14168762
1516,100000,623.8,37247,155,153,12,0,37331,0,0,12,0,75983,4018633,14246881
1516,100000,623.8,36209,794,146,1,0,38136,0,0,1,0,75969,4029695,14200277
1516,100000,623.8,34773,2629,148,13,0,39397,0,0,13,0,75980,4037308,14169149
